freq,dbfs,dbspl,rms,min_amp,max_amp,tag
233.33,-46,81.55,0.0019,-0.005,0.0048,
156.94,-46,82.0,0.002,-0.0049,0.0048,
230.29,-46,81.55,0.0019,-0.0044,0.0049,
506.9,-46,78.9,0.0014,-0.0051,0.0029,
115.14,-46,79.5,0.0015,-0.0051,0.0038,
501.14,-44,81.08,0.0018,-0.006,0.003,
115.14,-45,81.08,0.0018,-0.0054,0.0046,
593.27,-47,79.5,0.0015,-0.0025,0.0046,
177.82,-46,81.08,0.0018,-0.0048,0.0039,
345.43,-44,82.0,0.002,-0.006,0.0041,
506.9,-44,83.58,0.0024,-0.0027,0.0063,
230.29,-45,81.55,0.0019,-0.0058,0.0051,
460.57,-45,80.59,0.0017,-0.0058,0.0048,
501.14,-47,80.59,0.0017,-0.0026,0.0046,
230.29,-48,79.5,0.0015,-0.0042,0.0042,
575.72,-46,80.59,0.0017,-0.0051,0.005,
506.9,-46,80.59,0.0017,-0.0027,0.0053,
304.14,-47,80.06,0.0016,-0.0044,0.0044,
243.65,-46,81.55,0.0019,-0.0048,0.0047,
345.43,-46,80.59,0.0017,-0.0052,0.0043,
506.9,-46,82.0,0.002,-0.0048,0.003,
345.43,-47,80.59,0.0017,-0.0044,0.0039,
115.14,-46,81.08,0.0018,-0.0048,0.005,
409.6,-46,80.06,0.0016,-0.0053,0.0043,
230.29,-45,80.59,0.0017,-0.0035,0.0054,
115.14,-46,82.0,0.002,-0.0045,0.0053,
230.29,-44,82.42,0.0021,-0.0064,0.0048,
501.14,-49,79.5,0.0015,-0.0031,0.0034,
115.14,-46,81.08,0.0018,-0.0048,0.0044,
506.9,-48,78.9,0.0014,-0.0024,0.0039,
230.29,-45,82.0,0.002,-0.0049,0.0059,
345.43,-47,80.06,0.0016,-0.0046,0.004,
506.9,-50,79.5,0.0015,-0.003,0.0029,
806.01,-46,80.06,0.0016,-0.0049,0.0043,
115.14,-43,84.61,0.0027,-0.0068,0.0065,
501.14,-46,80.59,0.0017,-0.0032,0.0051,
345.43,-43,82.0,0.002,-0.005,0.007,
1102.5,-50,78.9,0.0014,-0.0033,0.0028,
115.14,-47,79.5,0.0015,-0.0045,0.0042,
230.29,-45,81.08,0.0018,-0.0057,0.0053,
460.57,-44,80.06,0.0016,-0.0039,0.006,
230.29,-44,82.42,0.0021,-0.0062,0.0053,
595.95,-44,84.61,0.0027,-0.0031,0.0065,
230.29,-45,81.55,0.0019,-0.0054,0.0052,
506.9,-48,80.06,0.0016,-0.0041,0.0034,
460.57,-46,82.0,0.002,-0.0048,0.0053,
501.14,-47,81.55,0.0019,-0.0045,0.0046,
230.29,-44,81.55,0.0019,-0.0051,0.006,
1013.79,-47,79.5,0.0015,-0.0046,0.0027,
115.14,-44,81.08,0.0018,-0.0062,0.0043,
