freq,dbfs,dbspl,rms,min_amp,max_amp,tag
344.53,-47,80.59,0.0017,-0.0045,0.0042,
206.07,-49,80.06,0.0016,-0.0033,0.0037,
345.43,-47,80.59,0.0017,-0.0045,0.0045,
230.29,-45,79.5,0.0015,-0.0043,0.0053,
115.14,-46,81.55,0.0019,-0.0049,0.005,
506.9,-50,77.56,0.0012,-0.0027,0.003,
506.9,-44,85.23,0.0029,-0.0062,0.0037,
345.43,-46,81.08,0.0018,-0.0049,0.005,
600.0,-47,80.59,0.0017,-0.0045,0.0041,
115.14,-44,81.08,0.0018,-0.0066,0.0052,
506.9,-48,78.9,0.0014,-0.0029,0.0039,
575.72,-47,78.9,0.0014,-0.0047,0.0035,
247.75,-44,81.55,0.0019,-0.0063,0.0033,
386.84,-45,80.59,0.0017,-0.0053,0.0044,
230.29,-46,81.08,0.0018,-0.0051,0.0041,
1013.79,-46,80.06,0.0016,-0.0027,0.0048,
115.14,-46,81.55,0.0019,-0.0047,0.0051,
501.14,-46,80.06,0.0016,-0.0032,0.005,
115.14,-48,80.06,0.0016,-0.0041,0.0038,
115.14,-45,80.59,0.0017,-0.0047,0.0056,
115.14,-44,83.21,0.0023,-0.0049,0.0061,
115.14,-47,80.59,0.0017,-0.0045,0.0047,
506.9,-49,78.26,0.0013,-0.0026,0.0034,
115.14,-45,81.55,0.0019,-0.0057,0.0048,
115.14,-46,80.59,0.0017,-0.0041,0.0051,
115.14,-45,82.0,0.002,-0.0057,0.0042,
501.14,-47,81.55,0.0019,-0.0029,0.0045,
115.14,-43,83.58,0.0024,-0.0053,0.0074,
2027.59,-50,78.9,0.0014,-0.0032,0.0032,
595.95,-47,78.9,0.0014,-0.0046,0.003,
230.29,-45,81.08,0.0018,-0.0046,0.0059,
115.14,-43,82.0,0.002,-0.0044,0.0068,
501.14,-47,82.42,0.0021,-0.0037,0.0043,
115.14,-45,81.08,0.0018,-0.0048,0.0058,
115.14,-47,78.9,0.0014,-0.0043,0.0037,
506.9,-47,80.06,0.0016,-0.0046,0.0036,
2205.0,-50,79.5,0.0015,-0.0025,0.003,
115.14,-44,81.08,0.0018,-0.004,0.0061,
115.14,-45,82.0,0.002,-0.0057,0.0055,
506.9,-50,77.56,0.0012,-0.0031,0.0029,
115.14,-43,80.59,0.0017,-0.0047,0.0072,
501.14,-47,81.08,0.0018,-0.0046,0.0045,
115.14,-44,82.0,0.002,-0.0064,0.0049,
115.14,-44,83.58,0.0024,-0.0062,0.0059,
115.14,-45,82.42,0.0021,-0.0055,0.0045,
115.14,-45,82.42,0.0021,-0.0053,0.005,
506.9,-49,78.26,0.0013,-0.0026,0.0035,
115.14,-45,82.0,0.002,-0.0055,0.0047,
501.14,-49,78.9,0.0014,-0.0036,0.003,
115.14,-46,82.0,0.002,-0.0046,0.0048,
115.14,-44,81.55,0.0019,-0.0062,0.0062,
230.29,-45,81.08,0.0018,-0.0055,0.0045,
1002.27,-49,78.9,0.0014,-0.003,0.0037,
506.9,-49,79.5,0.0015,-0.0037,0.0033,
367.5,-46,83.21,0.0023,-0.0053,0.0047,
251.28,-45,81.55,0.0019,-0.0041,0.0058,
